,psis_specific_c1_ratios,psis_specific_c2_ratios,phi_direct_cs_ratios,phi_indirect_cs_ratios
0,0.10719417090049677,0.1955574515011062,0.10708450054212805,0.001008323790791129
1,0.14016985102551943,0.14303605109692769,0.10926026327969914,0.0013974373201454183
2,0.697397591357588,0.05897827095018684,0.11311214779682448,0.00043631868924712876
3,0.6185354811891264,0.009798353900533893,0.0838834671915942,0.0015711410024260603
4,0.3119804082428862,0.10656342274096069,0.058806124606934,0.0003921650308647018
5,0.49703720633714205,0.0525227996096143,0.0008649690568200625,0.0012171201273593
6,0.8346763220833282,0.00218137632841272,0.023475521870244802,0.0037925196575934717
7,0.4058716581076124,0.14162013871692988,0.052978089672297744,0.004459841604454575
8,0.9989325957340507,0.04340935607840454,0.033237786292589194,0.0016621498421533043
9,0.6062146737322872,0.006785372197574472,0.024538978587166024,0.00128234501773417
10,0.320498673612318,0.044474879180135984,0.059719153258446483,0.008273511767557664
11,0.1079647045652469,0.04581530878580028,0.002834821015700183,5.64754272401008e-05
12,0.4896486869101604,0.01002569160282967,0.05002949689522356,0.001338383964644883
13,0.25090144937872844,0.07705284604895937,0.10063741375005167,0.0016852055254564593
14,0.43720331865110873,0.06839300723372971,0.056479929265932274,0.004485834888252051
15,0.39013804293900894,0.04851457072326975,0.13163989335073964,0.006542613301701588
16,0.5408353723373075,0.054076338931855,0.06534941963417823,0.0004927287420502771
17,0.3200824226451793,0.02507923568777338,0.052375119410212854,0.0016422617206449362
18,0.7432470938612152,0.05032275367108587,0.056058310955815024,0.0027255706081860905
19,0.8599717234258644,0.014605362855734463,0.0823068749518235,0.000977770498450977
20,0.4780424743704595,0.015208666869334161,0.10871557026621169,0.003479487331362945
21,0.3737879381587669,0.024953650312879754,0.10850601611817697,0.0029214373423113076
22,0.09950427589659762,0.030164817536275115,0.12243191037295163,0.0041208220618187946
23,0.8172152894210939,0.03715594723907302,0.010495150221956922,0.0008477275086260087
24,1.17415027591111,0.05473760068312626,0.058434497369714455,0.001000794631333632
