,psis_specific_q_ratios,psis_specific_d_ratios,phi_direct_cs_ratios,phi_indirect_cs_ratios
0,0.06752636860486355,0.8224762825459986,0.05898126601183001,0.0775300472610164
1,0.07332513463769799,0.6193356547451797,0.026052334514005727,0.07575836649249139
2,0.1730777633538231,0.9688333022078783,0.0670514368942732,0.04228299413684838
3,0.08056821409906037,0.8209424713532503,0.04833426324158319,0.006160466699436542
4,0.01364287133017282,0.06471939773433283,0.13878842620689452,0.2230016916786229
5,0.021714787837341185,0.6186300513720983,0.07956061388825415,0.048562315143262036
6,0.019145161432614754,0.19431796083403782,0.07926040155777464,0.018489641721179097
7,0.03608641561366768,0.07997071145608757,0.13672337140495466,0.10865271908285189
8,0.013242256791446664,1.057491109178874,0.01521742906189871,0.0981180521362612
9,0.16012414776578265,0.21972292236188862,0.18385869123738724,0.4043490952387496
10,0.10020840044661135,0.887437991729638,0.00854982855492748,0.07411784181341173
11,0.029312222280259106,0.4007312104208626,0.1032533807353938,0.2087184338027727
12,0.016557565658337093,1.2787725897910813,0.11216063163147968,0.11378627251113002
13,0.028017391216225613,1.001514707384841,0.1341543337707457,0.022017627413969766
14,0.030463991549332506,0.7150672365840618,0.08849444355912002,0.0376858528481804
15,0.15214151289189942,0.6000162830435951,0.04499940280283288,0.047129467505114146
16,0.08605030797531946,0.7759538050889488,0.02567974487454845,0.02571269815333011
17,0.11394658254503644,0.29627488561835463,0.03402453964492294,0.06695421024194143
18,0.020582794891641266,0.9540458257561588,0.045368053271278574,0.10357067244274659
19,0.125408120228674,0.3911627734267336,0.03947708564272048,0.04016793716636651
20,0.022876753791221463,1.3059510507603451,0.05815316953427547,0.04351346684278576
21,0.014396456516741922,0.7745192647176723,0.16999519795681667,0.03898587764155883
22,0.03587956522112056,0.8942758973325762,0.023770167912525415,0.029177550499586372
23,0.013564711699490835,0.8538937877665301,0.050592419932702,0.05225290593779985
24,0.03037465406636251,1.2841107572595705,0.22220932484628167,0.2665569576249288
